theme,file_name,chunk_index,chunk_id,chunk_text,chunk_length,has_numbers,has_percentages,has_years,has_sdg_keywords,relevance_score
Economy and Employment/Economy and Employment,Albania RA - Policy Document 10.10.2024.pdf,11,Albania RA - Policy Document 10.10.2024.pdf_chunk11,"This objective includes several key initiatives envisaged as measures in the RA 2024-2027 Draft- Policy Document that stimulate an even more competitive and attractive business climate through a cohesive and supportive framework for economic development through reforms and measures such as: (i) mobilizing domestic revenues and improving the tax system; (ii) ensuring transparency and efficiency of cadastral state services for investors, businesses, and citizens, and an inclusive public policy for land and property use; (iii) increasing the attraction and transparency of investments and improving the governance of state-owned enterprises and state aid; (iv) improving the investment attraction framework, especially for FDI and the business climate through deregulation and modernization of business services; (v) establishing Intelligent Transport Systems and E-goods; (vi) promoting the export of domestic products to the European Union and internationalizing enterprises, including facilitating trade and transport aiming at the European Union Single Market as a broad consumer base; (vii) value chain partnership and smart specialization growth, professional formation, innovative entrepreneurship, etc. Objective 2: Sustainable human capital development - further reforming education for a skilled and digitally prepared workforce The second objective focuses on human capital development by creating a dynamic education system that equips students and employees with the relevant skills and necessary digital competence in the global economy, fostering innovation and increasing national competitiveness, productivity development, and a skilled workforce. Within this objective, various initiatives are outlined as measures in the RA 2024-2027 Draft- Policy Document to increase the effectiveness of the professional education system, align it with the demands in response to the dynamic developments of the labor market, and increase active participation in the labor market and broader economic development.",275,True,False,True,False,0.0
Economy and Employment/Economy and Employment,Albania RA - Policy Document 10.10.2024.pdf,12,Albania RA - Policy Document 10.10.2024.pdf_chunk12,"Objective 2: Sustainable human capital development - further reforming education for a skilled and digitally prepared workforce The second objective focuses on human capital development by creating a dynamic education system that equips students and employees with the relevant skills and necessary digital competence in the global economy, fostering innovation and increasing national competitiveness, productivity development, and a skilled workforce. Within this objective, various initiatives are outlined as measures in the RA 2024-2027 Draft- Policy Document to increase the effectiveness of the professional education system, align it with the demands in response to the dynamic developments of the labor market, and increase active participation in the labor market and broader economic development. The main reforms for achieving this objective consist of (i) improving the Vocational Education and Training (VET) system to better align with labor market skill demands; (ii) updating pre- university education curricula for learning competencies in fulfillment of the EU Recommendation and the National Education Strategy 2021-2026; (iii) improving the National Qualifications Framework in line with that of the European Higher Education Area3 (EHEA) as one of the main commitments of the Bologna Process; (iv) advancing digital skills and education for youth and ICT infrastructure for public schools and universities; (v) strengthening the efficiency of employment policy support schemes; (vi) strengthening the national research and innovation environment and ecosystem, etc.",222,True,False,True,False,0.0
Economy and Employment/Economy and Employment,Albania RA - Policy Document 10.10.2024.pdf,13,Albania RA - Policy Document 10.10.2024.pdf_chunk13,"Within this objective, various initiatives are outlined as measures in the RA 2024-2027 Draft- Policy Document to increase the effectiveness of the professional education system, align it with the demands in response to the dynamic developments of the labor market, and increase active participation in the labor market and broader economic development. The main reforms for achieving this objective consist of (i) improving the Vocational Education and Training (VET) system to better align with labor market skill demands; (ii) updating pre- university education curricula for learning competencies in fulfillment of the EU Recommendation and the National Education Strategy 2021-2026; (iii) improving the National Qualifications Framework in line with that of the European Higher Education Area3 (EHEA) as one of the main commitments of the Bologna Process; (iv) advancing digital skills and education for youth and ICT infrastructure for public schools and universities; (v) strengthening the efficiency of employment policy support schemes; (vi) strengthening the national research and innovation environment and ecosystem, etc. Objective 3: Building a secure, sustainable digital society with accessible services The third objective focuses on digital transformation by creating a leading digital society for development and growth where secure, sustainable, and efficient digital infrastructures support public services and economic transformation, ensuring cyber resilience in line with European Union standards.",212,True,False,True,False,0.0
Economy and Employment/Economy and Employment,Albania RA - Policy Document 10.10.2024.pdf,14,Albania RA - Policy Document 10.10.2024.pdf_chunk14,"The main reforms for achieving this objective consist of (i) improving the Vocational Education and Training (VET) system to better align with labor market skill demands; (ii) updating pre- university education curricula for learning competencies in fulfillment of the EU Recommendation and the National Education Strategy 2021-2026; (iii) improving the National Qualifications Framework in line with that of the European Higher Education Area3 (EHEA) as one of the main commitments of the Bologna Process; (iv) advancing digital skills and education for youth and ICT infrastructure for public schools and universities; (v) strengthening the efficiency of employment policy support schemes; (vi) strengthening the national research and innovation environment and ecosystem, etc. Objective 3: Building a secure, sustainable digital society with accessible services The third objective focuses on digital transformation by creating a leading digital society for development and growth where secure, sustainable, and efficient digital infrastructures support public services and economic transformation, ensuring cyber resilience in line with European Union standards. To achieve this objective, several key initiatives are outlined in NRA 2024-2027, consisting of: (i) aligning with the European Union regulation for Digital Identity and implementing the Digital E-Wallet for public services; (ii) aligning the regulatory framework for cybersecurity with European Union standards and the requirements of the NIS24 Directive of the European Union; (iii) improving the regulatory framework for secure and sustainable digital infrastructure; (iv) improving the enabling environment for innovative businesses and supporting 3 ESG - European Standards Guidelines 4 NIS - Network and Information Security Directive, EU business initiatives with potential for green and digital transition, as well as stimulating and growing the innovative entrepreneurship ecosystem, etc.",270,True,False,True,False,0.0
Economy and Employment/Economy and Employment,Albania RA - Policy Document 10.10.2024.pdf,15,Albania RA - Policy Document 10.10.2024.pdf_chunk15,"Objective 3: Building a secure, sustainable digital society with accessible services The third objective focuses on digital transformation by creating a leading digital society for development and growth where secure, sustainable, and efficient digital infrastructures support public services and economic transformation, ensuring cyber resilience in line with European Union standards. To achieve this objective, several key initiatives are outlined in NRA 2024-2027, consisting of: (i) aligning with the European Union regulation for Digital Identity and implementing the Digital E-Wallet for public services; (ii) aligning the regulatory framework for cybersecurity with European Union standards and the requirements of the NIS24 Directive of the European Union; (iii) improving the regulatory framework for secure and sustainable digital infrastructure; (iv) improving the enabling environment for innovative businesses and supporting 3 ESG - European Standards Guidelines 4 NIS - Network and Information Security Directive, EU business initiatives with potential for green and digital transition, as well as stimulating and growing the innovative entrepreneurship ecosystem, etc. Objective 4: Consolidating energy sustainability and integrating the Albanian market into the EU The fourth objective focuses on energy and the green transition with the aim of transforming Albania into a regional energy leader by adopting European Union standards and practices, promoting a competitive and transparent energy market, addressing risks from energy poverty and environmental aspects, and further increasing efforts in the green transition.",224,True,False,True,False,0.0
Economy and Employment/Economy and Employment,Albania RA - Policy Document 10.10.2024.pdf,16,Albania RA - Policy Document 10.10.2024.pdf_chunk16,"To achieve this objective, several key initiatives are outlined in NRA 2024-2027, consisting of: (i) aligning with the European Union regulation for Digital Identity and implementing the Digital E-Wallet for public services; (ii) aligning the regulatory framework for cybersecurity with European Union standards and the requirements of the NIS24 Directive of the European Union; (iii) improving the regulatory framework for secure and sustainable digital infrastructure; (iv) improving the enabling environment for innovative businesses and supporting 3 ESG - European Standards Guidelines 4 NIS - Network and Information Security Directive, EU business initiatives with potential for green and digital transition, as well as stimulating and growing the innovative entrepreneurship ecosystem, etc. Objective 4: Consolidating energy sustainability and integrating the Albanian market into the EU The fourth objective focuses on energy and the green transition with the aim of transforming Albania into a regional energy leader by adopting European Union standards and practices, promoting a competitive and transparent energy market, addressing risks from energy poverty and environmental aspects, and further increasing efforts in the green transition. The measures included under this objective consist of: (i) gradually adjusting tariffs to market prices accompanied by measures to address risks from energy poverty; (ii) promoting renewable energy production through the development of a transparent and competitive renewable energy plan; (iii) implementing the Renewable Energy Directive; (iv) mechanisms related to the establishment of the European Union carbon trading and emissions system; (v) the strategic framework for energy efficiency and the energy efficiency scheme for public buildings, etc.",251,True,False,True,False,0.0
Economy and Employment/Economy and Employment,Albania RA - Policy Document 10.10.2024.pdf,17,Albania RA - Policy Document 10.10.2024.pdf_chunk17,"Objective 4: Consolidating energy sustainability and integrating the Albanian market into the EU The fourth objective focuses on energy and the green transition with the aim of transforming Albania into a regional energy leader by adopting European Union standards and practices, promoting a competitive and transparent energy market, addressing risks from energy poverty and environmental aspects, and further increasing efforts in the green transition. The measures included under this objective consist of: (i) gradually adjusting tariffs to market prices accompanied by measures to address risks from energy poverty; (ii) promoting renewable energy production through the development of a transparent and competitive renewable energy plan; (iii) implementing the Renewable Energy Directive; (iv) mechanisms related to the establishment of the European Union carbon trading and emissions system; (v) the strategic framework for energy efficiency and the energy efficiency scheme for public buildings, etc. Objective 5: Consolidating the Rule of Law The fifth objective aims to contribute to ensuring the irreversibility of justice reform and further consolidate efforts for the rule of law through measures that combat organized crime, prevent and reduce corruption incidence, increase judicial efficiency, and promote transparency and freedom of expression in accordance with European standards.",196,True,False,False,False,0.0
Economy and Employment/Economy and Employment,Albania RA - Policy Document 10.10.2024.pdf,18,Albania RA - Policy Document 10.10.2024.pdf_chunk18,"The measures included under this objective consist of: (i) gradually adjusting tariffs to market prices accompanied by measures to address risks from energy poverty; (ii) promoting renewable energy production through the development of a transparent and competitive renewable energy plan; (iii) implementing the Renewable Energy Directive; (iv) mechanisms related to the establishment of the European Union carbon trading and emissions system; (v) the strategic framework for energy efficiency and the energy efficiency scheme for public buildings, etc. Objective 5: Consolidating the Rule of Law The fifth objective aims to contribute to ensuring the irreversibility of justice reform and further consolidate efforts for the rule of law through measures that combat organized crime, prevent and reduce corruption incidence, increase judicial efficiency, and promote transparency and freedom of expression in accordance with European standards. The measures included under this objective consist of: (i) strengthening efforts for the prevention of corruption and combating organized crime; (ii) enhancing institutional capacity and the strategic framework in the field of preventing and combating drugs; (iii) consolidating a credible and sustainable strategic framework and action for preventing and combating money laundering; (iv) consolidating the independence and accountability of the justice system through transparency; (v) increasing the efficiency of the justice system at all levels; (vi) consolidating progress for freedom of expression in line with European standards; (vii) aligning visa requirements with European standards/policy, etc. ALBANIA Policy area Component (sector) Indicative Reforms Qualitative or quantitative steps 1.1. Business environmen t 1.1.1.",243,True,False,False,False,0.0
Economy and Employment/Economy and Employment,Albania RA - Policy Document 10.10.2024.pdf,19,Albania RA - Policy Document 10.10.2024.pdf_chunk19,"The measures included under this objective consist of: (i) strengthening efforts for the prevention of corruption and combating organized crime; (ii) enhancing institutional capacity and the strategic framework in the field of preventing and combating drugs; (iii) consolidating a credible and sustainable strategic framework and action for preventing and combating money laundering; (iv) consolidating the independence and accountability of the justice system through transparency; (v) increasing the efficiency of the justice system at all levels; (vi) consolidating progress for freedom of expression in line with European standards; (vii) aligning visa requirements with European standards/policy, etc. ALBANIA Policy area Component (sector) Indicative Reforms Qualitative or quantitative steps 1.1. Business environmen t 1.1.1. Increase domestic revenue mobilisation and the comprehensiveness of the tax system, notably via adopting and implementing the Medium-Term Revenue Strategy (MTRS). MTRS updated and adopted (December 2024), including a measure on (inter alia) an evaluation of all tax exemptions with a view to deciding whether any can be phased out, and with a view to deciding whether the use of the data sets from third parties enable unjustified wealth investigations can be possible (June 2025).",186,True,False,True,False,0.0
Economy and Employment/Economy and Employment,Albania RA - Policy Document 10.10.2024.pdf,20,Albania RA - Policy Document 10.10.2024.pdf_chunk20,"Increase domestic revenue mobilisation and the comprehensiveness of the tax system, notably via adopting and implementing the Medium-Term Revenue Strategy (MTRS). MTRS updated and adopted (December 2024), including a measure on (inter alia) an evaluation of all tax exemptions with a view to deciding whether any can be phased out, and with a view to deciding whether the use of the data sets from third parties enable unjustified wealth investigations can be possible (June 2025). Include in MTRS and implement measures related to improving tax administration, such as use of data from third parties (electricity, water, vehicle registration), to enable tax administration programme of unjustified wealth investigations on taxpayers’ assets (December 2026); completing register of taxpayers’ assets for 10% of taxpayers (December 2026); increasing prefilling of VAT and personal income tax returns (using information from Fiscalization) (December 2026); strengthen performance of anti-tax fraud investigations (June 2027). 1.1.2. Ensure transparency and efficiency of state cadastre services, for investors and citizens and provide clear policy for land usage. First registrations have been completed in 95% of all the cadastral zones (June 2026). Digitalisation of all paper based immovable property cartell",188,True,True,True,False,0.0
Economy and Employment/Economy and Employment,Labour Force Survey-q4-2024.pdf,1,Labour Force Survey-q4-2024.pdf_chunk1,"Instituti i Statistikave info@instat.gov.al Rr. Vllazën Huta, www.instat.gov.al Ndërtesa 35, Hyrja 1 Tel: +355 4 2222 411 Tiranë, Kodi Postar 1017 Faks: +355 4 2222 411 For Release 12/03/2025 Quarterly Labour Force Survey Fourth quarter 2024 Tirana, 12 March, 2024: In the fourth quarter of 2024*, the employment rate for the population aged 15- 64 was 68.3%, showing an annual increase of 1.6 percentage points and a quarterly decrease of 0.8 percentage points. The official unemployment rate in Albania in the fourth quarter of 2024, for the population aged 15 and above, was 8.8%, reflecting an annual decrease of 0.8 percentage points and a quarterly increase of 0.7 percentage points. The labor force participation rate for the population aged 15-64 in the fourth quarter of 2024 was 75.5%, with an annual increase of 1.2 percentage points and a quarterly decrease of 0.4 percentage points. Fig. 1 Labour Force Participation Rate, population aged 15 to 64, Q.1/23-Q.4/24 _____________________________________________________________________________________________________________________________________________________________ *The Labour Force Survey results presented in this press release have been calibrated using the resident population according to the results of the 2023 Population and Housing Census. *The data presented have been re-evaluated from the first quarter of 2023 to the fourth quarter of 2024.",203,True,True,True,False,0.0
Economy and Employment/Economy and Employment,Labour Force Survey-q4-2024.pdf,2,Labour Force Survey-q4-2024.pdf_chunk2,"1 Labour Force Participation Rate, population aged 15 to 64, Q.1/23-Q.4/24 _____________________________________________________________________________________________________________________________________________________________ *The Labour Force Survey results presented in this press release have been calibrated using the resident population according to the results of the 2023 Population and Housing Census. *The data presented have been re-evaluated from the first quarter of 2023 to the fourth quarter of 2024. *Labour Market Indicators will be subject to further revision 75.4 76.1 75.5 74.3 75.6 75.6 75.9 75.5 81.2 81.2 81.3 80.4 81.9 82.3 82.6 82.2 69.8 71.2 69.9 68.4 69.4 69.2 69.5 69.1 60 70 80 90 I.23 II.23 III.23 IV.23 I.24 II.24 III.24 IV.24 Total Male Female % Page 2 Quarterly Labour Force Survey Fourth Quarter - 2024 For more information, visit INSTAT webpage: https://www.instat.gov.al/ The women labour force participation rate is 69.1 %, whereas for men this indicator is 82.2 %. The men labour force participation rate is 13.1 percentage points higher than women. The labour force participation rate for women increased by 0.7 percentage points and for men by 1.8 percentage points compared to the same quarter of 2023. During the fourth quarter 2024, the youth labour force participation rate (population aged from 15 to 29) is 53.6%. This indicator increased by 2.0 percentage points compared to the fourth quarter of 2023, and decreased by 2.4 percentage points compared to the third quarter of 2024. In the fourth quarter 2024, for the population aged from 30 to 64, the labour force participation rate is 83.9 %.",247,True,True,True,True,0.0
Economy and Employment/Economy and Employment,Labour Force Survey-q4-2024.pdf,3,Labour Force Survey-q4-2024.pdf_chunk3,"This indicator increased by 2.0 percentage points compared to the fourth quarter of 2023, and decreased by 2.4 percentage points compared to the third quarter of 2024. In the fourth quarter 2024, for the population aged from 30 to 64, the labour force participation rate is 83.9 %. Employment During the fourth quarter of 2024, the employment rate for the population 15-64 is 68.3 %. The number of employees for the population 15 years and over, from the fourth quarter of 2023 to the fourth quarter of 2024, increased by 1.8%. In annual terms, employment increased by 1.0% in the agriculture sector, by 3.6% in the industry sector and by 1.5% in the service sector. In the fourth quarter 2024, the employment for the population aged 15 years and over, decreased by 1.7 % compared to the previous quarter. Employment decreased by 2.3 % in the agriculture sector, by 0.9 % in the services sector and by 2.4 %. In the industry sector. Fig. 2 Employment growth rate in yearly and quarterly basis, population aged 15 and over (%) 1.8% 1.0% 3.6% 1.5% -1.7% -2.3% -2.4% -0.9% Total Agriculture Industry Services Yearly change Quarterly change Page 3 Quarterly Labour Force Survey Fourth Quarter - 2024 For more information, visit INSTAT webpage: https://www.instat.gov.al/ The employment rate for men 15-64 years old is 74.9 %, whereas for women is 61.9 %.",229,True,True,True,True,0.0
